sku,name,description,price,discount,quantity,weight,seo title,seo description,user friendly url,type,categories,hidden,shipping required,option:Variant,option:Rarity,option:Artist,variant:Artist,variant sku,variant price,variant discount,variant quantity,variant weight,productId
me3-29-norm,Meg - POR - 29 - Dedenne - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 029/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Dedenne 029/088 - Normal,MEG Perfect Order: Dedenne 029/088 - Normal,meg-por-29-dedenne-common-normal,Common,Mega Evolution Era; Lightning; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684412
me3-29-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684412
me3-30-norm,Meg - POR - 30 - Clefairy - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 030/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Clefairy 030/088 - Normal,MEG Perfect Order: Clefairy 030/088 - Normal,meg-por-30-clefairy-common-normal,Common,Mega Evolution Era; Psychic; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684414
me3-30-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684414
me3-31-holo,Meg - POR - 31 - Mega Clefable ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Double Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 031/088</p>,13.0,0.0,0.0,0.0,MEG Perfect Order: Mega Clefable ex 031/088 - Holofoil,MEG Perfect Order: Mega Clefable ex 031/088 - Holofoil,meg-por-31-mega-clefable-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Psychic; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,,,,,,,,684383
me3-32-norm,Meg - POR - 32 - Mawile - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 032/088</p>,3.0,0.0,0.0,0.0,MEG Perfect Order: Mawile 032/088 - Normal,MEG Perfect Order: Mawile 032/088 - Normal,meg-por-32-mawile-common-normal,Common,Mega Evolution Era; Psychic; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684416
me3-32-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684416
me3-33-norm,Meg - POR - 33 - Espurr - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 033/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Espurr 033/088 - Normal,MEG Perfect Order: Espurr 033/088 - Normal,meg-por-33-espurr-common-normal,Common,Mega Evolution Era; Psychic; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684417
me3-33-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684417
me3-34-norm,Meg - POR - 34 - Meowstic - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 034/088</p>,3.0,0.0,0.0,0.0,MEG Perfect Order: Meowstic 034/088 - Normal,MEG Perfect Order: Meowstic 034/088 - Normal,meg-por-34-meowstic-uncommon-normal,Uncommon,Mega Evolution Era; Psychic; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684419
me3-34-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684419
