db_code,db_name,era,release_date,db_records,tcgcsv_gid,ptcgio_id,ptcgio_name,ptcgio_total,ptcgio_status,enrich_source,notes
TEU,Team Up,SM,2019-02-01,0,2377,sm9,Team Up,198,CONFIRMED,ptcgio,
DET,Detective Pikachu,SM,2019-05-03,0,2409,det1,Detective Pikachu,18,CONFIRMED,ptcgio,
UNB,Unbroken Bonds,SM,2019-05-03,0,2420,sm10,Unbroken Bonds,234,CONFIRMED,ptcgio,
UNM,Unified Minds,SM,2019-08-02,0,2464,sm11,Unified Minds,260,CONFIRMED,ptcgio,
HIF,Hidden Fates,SM,2019-08-23,128,2480,sm115,Hidden Fates,69,CONFIRMED,ptcgio,
CEC,Cosmic Eclipse,SM,2019-11-01,0,2534,sm12,Cosmic Eclipse,272,CONFIRMED,ptcgio,
HIFSV,Hidden Fates Shiny Vault,SM,,94,2594,sma,Hidden Fates Shiny Vault,94,CONFIRMED,ptcgio,
SHL,Shining Legends,SM,,87,,,,,NO_MAPPING,none,
SM01,SM Base Set,SM,,184,,,,,NO_MAPPING,none,
SM02,SM - Guardians Rising,SM,,202,,,,,NO_MAPPING,none,
SM03,SM - Burning Shadows,SM,,188,,,,,NO_MAPPING,none,
SM04,SM - Crimson Invasion,SM,,140,,,,,NO_MAPPING,none,
SM05,SM - Ultra Prism,SM,,189,,,,,NO_MAPPING,none,
SM06,SM - Forbidden Light,SM,,158,,,,,NO_MAPPING,none,
SM10,SM - Unbroken Bonds,SM,,250,,,,,NO_MAPPING,none,
SM11,SM - Unified Minds,SM,,274,,,,,NO_MAPPING,none,
SM12,SM - Cosmic Eclipse,SM,,281,,,,,NO_MAPPING,none,
SM8,SM - Lost Thunder,SM,,251,,,,,NO_MAPPING,none,
SM9,SM - Team Up,SM,,222,,,,,NO_MAPPING,none,
SMP,SM Promos,SM,,333,,,,,NO_MAPPING,none,
PR-SV,Scarlet & Violet Black Star Promos,SV,2023-01-01,0,,,,,NO_MAPPING,none,
SVP,Scarlet & Violet Promos,SV,2023-01-01,283,,,,,NO_MAPPING,none,
SV1,Scarlet & Violet,SV,2023-03-31,0,,,,,NO_MAPPING,none,
SVE,Scarlet & Violet Energies,SV,2023-03-31,40,24382,,,,NO_MAPPING,tcgcsv,
SV2,Paldea Evolved,SV,2023-06-09,0,,,,,NO_MAPPING,none,
SV3,Obsidian Flames,SV,2023-08-11,0,,,,,NO_MAPPING,none,
MEW,Scarlet & Violet 151,SV,2023-09-22,384,23237,sv3pt5,151,207,CONFIRMED,ptcgio,
SV3PT5,151,SV,2023-09-22,0,,,,,NO_MAPPING,none,
TCGCL,TCG Classic,SV,2023-10-01,0,23323,,,,NO_MAPPING,tcgcsv,
SV4,Paradox Rift,SV,2023-11-03,0,,,,,NO_MAPPING,none,
SV4PT5,Paldean Fates,SV,2024-01-26,0,,,,,NO_MAPPING,none,
TEF,Temporal Forces,SV,2024-03-22,376,23381,sv5,Temporal Forces,218,CONFIRMED,ptcgio,
TWM,Twilight Masquerade,SV,2024-05-24,390,23473,sv6,Twilight Masquerade,226,CONFIRMED,ptcgio,
SFA,Shrouded Fable,SV,2024-08-02,173,23529,sv6pt5,Shrouded Fable,99,CONFIRMED,ptcgio,
SCR,Stellar Crown,SV,2024-09-13,321,23537,sv7,Stellar Crown,175,CONFIRMED,ptcgio,
SSP,Surging Sparks,SV,2024-11-08,432,23651,sv8,Surging Sparks,252,CONFIRMED,ptcgio,
MCD24,McDonalds 2024,SV,2024-12-04,0,24163,,,,NO_MAPPING,tcgcsv,
PRE,Prismatic Evolutions,SV,2025-01-17,465,23821,sv8pt5,Prismatic Evolutions,180,CONFIRMED,ptcgio,
JTG,Journey Together,SV,2025-03-28,347,24073,sv9,Journey Together,190,CONFIRMED,ptcgio,
DRI,Destined Rivals,SV,2025-05-30,434,24269,sv10,Destined Rivals,244,CONFIRMED,ptcgio,
BLK,Black Bolt,SV,2025-07-18,416,24325,,,,NO_MAPPING,tcgcsv,
WHT,White Flare,SV,2025-09-19,414,24326,,,,NO_MAPPING,tcgcsv,
OBF,SV03: Obsidian Flames,SV,,420,23228,sv3,Obsidian Flames,230,CONFIRMED,ptcgio,
PAF,SV: Paldean Fates,SV,,347,23353,sv4pt5,Paldean Fates,245,CONFIRMED,ptcgio,
PAL,SV02: Paldea Evolved,SV,,478,23120,sv2,Paldea Evolved,279,CONFIRMED,ptcgio,
PAR,SV04: Paradox Rift,SV,,451,23286,sv4,Paradox Rift,266,CONFIRMED,ptcgio,
SVI,SV01: Scarlet & Violet Base Set,SV,,468,22873,sv1,Scarlet & Violet,258,CONFIRMED,ptcgio,
PR-SWSH,SWSH Black Star Promos,SWSH,2020-02-07,0,,,,,NO_MAPPING,none,
SWSH01,Sword & Shield,SWSH,2020-02-07,246,2585,swsh1,Sword & Shield,216,CONFIRMED,ptcgio,
SWSH02,Rebel Clash,SWSH,2020-05-01,224,2626,swsh2,Rebel Clash,209,CONFIRMED,ptcgio,
SWSH03,Darkness Ablaze,SWSH,2020-08-14,216,2675,swsh3,Darkness Ablaze,201,CONFIRMED,ptcgio,
CPA,Champion's Path,SWSH,2020-09-25,0,2685,swsh35,Champion's Path,80,CONFIRMED,ptcgio,
SWSH04,Vivid Voltage,SWSH,2020-11-13,220,2701,swsh4,Vivid Voltage,203,CONFIRMED,ptcgio,
SHFSV,Shining Fates Shiny Vault,SWSH,2021-02-19,122,2781,swsh45sv,Shining Fates Shiny Vault,122,CONFIRMED,ptcgio,
BST,Battle Styles,SWSH,2021-03-19,30,,swsh9tg,Brilliant Stars Trainer Gallery,30,CONFIRMED,ptcgio,
MCD21,McDonalds 25th Anniversary,SWSH,2021-06-11,0,2782,,,,NO_MAPPING,tcgcsv,
SWSH06,Chilling Reign,SWSH,2021-06-18,248,2807,swsh6,Chilling Reign,233,CONFIRMED,ptcgio,
SWSH07,Evolving Skies,SWSH,2021-08-27,255,2848,swsh7,Evolving Skies,237,CONFIRMED,ptcgio,
CCC,Celebrations Classic Collection,SWSH,2021-10-08,25,2931,cel25c,Celebrations: Classic Collection,25,CONFIRMED,ptcgio,
CLB,Celebrations,SWSH,2021-10-08,38,2867,cel25,Celebrations,25,CONFIRMED,ptcgio,
SWSH08,Fusion Strike,SWSH,2021-11-12,296,2906,swsh8,Fusion Strike,284,CONFIRMED,ptcgio,
BRSTG,Brilliant Stars TG,SWSH,2022-02-25,0,3020,swsh9tg,Brilliant Stars Trainer Gallery,30,CONFIRMED,ptcgio,
SWSH09,Brilliant Stars,SWSH,2022-02-25,206,2948,swsh9,Brilliant Stars,186,CONFIRMED,ptcgio,
ASRTG,Astral Radiance TG,SWSH,2022-05-27,30,3068,swsh10tg,Astral Radiance Trainer Gallery,30,CONFIRMED,ptcgio,
SWSH10,Astral Radiance,SWSH,2022-05-27,225,3040,swsh10,Astral Radiance,216,CONFIRMED,ptcgio,
